epoch,global_step,seq_len,task,component,r2,rmse,pearson_r,mae
5,73842,16,hi,HI_0,0.116632,0.002645,0.432332,
5,73842,16,hi,HI_1,-0.850246,0.004375,0.054156,
5,73842,16,hi,HI_2,-0.932042,0.005577,0.174185,
5,73842,16,hi,HI_3,0.403180,0.003228,0.733102,
5,73842,16,hi,HI_4,-0.337435,0.003386,0.706698,
5,73842,16,hi,HI_5,-3.830657,0.002942,0.241311,
5,73842,16,hi,HI_6,-0.276680,0.001051,0.113356,
5,73842,16,hi,HI_7,-0.874901,0.001385,-0.047545,
5,73842,16,hi,HI_8,0.150239,0.001128,0.412719,
5,73842,16,hi,HI_9,-1.470321,0.001748,0.153719,
5,73842,16,hi,MEAN,-0.790223,0.002746,0.297403,
5,73842,16,rul,steps-to-action,-0.083102,26.752153,0.025663,21.839718
9,123070,16,hi,HI_0,-0.120765,0.002979,0.334769,
9,123070,16,hi,HI_1,-1.299746,0.004878,-0.026785,
9,123070,16,hi,HI_2,-1.327061,0.006120,0.016388,
9,123070,16,hi,HI_3,-0.010357,0.004200,0.587882,
9,123070,16,hi,HI_4,-0.142388,0.003129,0.738019,
9,123070,16,hi,HI_5,-3.438497,0.002820,0.283280,
9,123070,16,hi,HI_6,-0.439313,0.001116,0.046350,
9,123070,16,hi,HI_7,-0.830247,0.001368,-0.153564,
9,123070,16,hi,HI_8,0.298832,0.001025,0.581355,
9,123070,16,hi,HI_9,-1.688963,0.001824,0.118367,
9,123070,16,hi,MEAN,-0.899850,0.002946,0.252606,
9,123070,16,rul,steps-to-action,-0.141763,27.467049,0.024386,22.208838
0,0,32,hi,HI_0,0.242225,0.002439,0.495484,
0,0,32,hi,HI_1,-0.398904,0.003794,0.187261,
0,0,32,hi,HI_2,-0.042358,0.004086,0.516090,
0,0,32,hi,HI_3,0.626996,0.002543,0.817233,
0,0,32,hi,HI_4,-0.063577,0.003016,0.205121,
0,0,32,hi,HI_5,-0.629802,0.001705,0.095637,
0,0,32,hi,HI_6,-0.188868,0.001013,0.090769,
0,0,32,hi,HI_7,-0.358063,0.001176,0.003089,
0,0,32,hi,HI_8,-0.258230,0.001368,-0.149026,
0,0,32,hi,HI_9,-1.261363,0.001665,0.265649,
0,0,32,hi,MEAN,-0.233194,0.002280,0.252731,
